#SampleID	Var	ControlVar
R8J9ZNOW.518040	Healthy	1457:R8J9Z
C0275.T.518032	Tumor	1457:C0275
5TA9VAT9.518088	Tumor	1457:5TA9V
OTGGZN5Y.518063	Healthy	1457:OTGGZ
QFHRSNIH.518116	Healthy	1457:QFHRS
5TA9VN6K.518161	Healthy	1457:5TA9V
C0240.N.518020	Healthy	1457:C0240
OTGGZAZO.518108	Tumor	1457:OTGGZ
C0241.T.518067	Tumor	1457:C0241
UEL2GAPI.518173	Tumor	1457:UEL2G
C0374.N.518099	Healthy	1457:C0374
KIXFRNL2.518129	Healthy	1457:KIXFR
C0366.N.518094	Healthy	1457:C0366
C0344.N.518103	Healthy	1457:C0344
C0258.T.517997	Tumor	1457:C0258
C4.S.518169	Healthy	1457:C4
C0270.T.518163	Tumor	1457:C0270
UZ65XN27.518028	Healthy	1457:UZ65X
C0395.N.518054	Healthy	1457:C0395
C0394.N.518031	Healthy	1457:C0394
R8J9ZAGC.518059	Tumor	1457:R8J9Z
59S9WNC6.518055	Healthy	1457:59S9W
C0398.N.518152	Healthy	1457:C0398
C10.S.517995	Healthy	1457:C10
C0355.T.518157	Tumor	1457:C0355
C0271.N.518022	Healthy	1457:C0271
C0311.T.518131	Tumor	1457:C0311
GQ6LSNI6.518106	Healthy	1457:GQ6LS
C0325.T.518083	Tumor	1457:C0325
C0371.T.518139	Tumor	1457:C0371
TV28INUO.518004	Healthy	1457:TV28I
LRQ9WN6C.518048	Healthy	1457:LRQ9W
C0388.N.518136	Healthy	1457:C0388
C0225.N.518047	Healthy	1457:C0225
C0285.T.518044	Tumor	1457:C0285
C0399.N.518011	Healthy	1457:C0399
C0322.N.518165	Healthy	1457:C0322
5EKFOAO4.518164	Tumor	1457:5EKFO
6G2KBASQ.517999	Tumor	1457:6G2KB
C0315.N.518021	Healthy	1457:C0315
C0206.N.518065	Healthy	1457:C0206
C0285.N.518084	Healthy	1457:C0285
C0268.N.518089	Healthy	1457:C0268
UEL2GN92.518058	Healthy	1457:UEL2G
UZ65XAS5.518119	Tumor	1457:UZ65X
C0335.N.518107	Healthy	1457:C0335
C0230.T.518144	Tumor	1457:C0230
C0258.N.518014	Healthy	1457:C0258
C0395.T.518075	Tumor	1457:C0395
C0374.T.518127	Tumor	1457:C0374
C0366.T.518172	Tumor	1457:C0366
C0371.N.518009	Healthy	1457:C0371
C0341.N.518101	Healthy	1457:C0341
C0399.T.518153	Tumor	1457:C0399
C4.T.518118	Tumor	1457:C4
C0294.N.517987	Healthy	1457:C0294
C0154.N.518002	Healthy	1457:C0154
6G2KBNS6.518045	Healthy	1457:6G2KB
C0378.N.518158	Healthy	1457:C0378
C0230.N.517992	Healthy	1457:C0230
C0306.T.518122	Tumor	1457:C0306
C0349.T.518111	Tumor	1457:C0349
C0349.N.517989	Healthy	1457:C0349
KIXFRARY.518160	Tumor	1457:KIXFR
JIDZEAPD.518149	Tumor	1457:JIDZE
59S9WAIH.518013	Tumor	1457:59S9W
C0241.N.518043	Healthy	1457:C0241
